time,open,high,low,close
2025-05-01T08:00:00Z,53.87,54.11,53.87,54
2025-05-01T08:15:00Z,54,54.125,54,54.08
2025-05-01T08:30:00Z,54.09,54.1,54.05,54.06
2025-05-01T08:45:00Z,54.09,54.17,54.09,54.16
2025-05-01T09:00:00Z,54.15,54.16,54.11,54.13
2025-05-01T09:15:00Z,54.13,54.22,53.97,54.2
2025-05-01T09:30:00Z,54.22,54.3,54.2,54.27
2025-05-01T09:45:00Z,54.29,54.46,54.28,54.31
2025-05-01T10:00:00Z,54.33,54.46,54.33,54.45
2025-05-01T10:15:00Z,54.45,54.78,54.45,54.75
2025-05-01T10:30:00Z,54.77,54.77,54.63,54.69
2025-05-01T10:45:00Z,54.68,54.7,54.54,54.68
2025-05-01T11:00:00Z,54.69,54.74,54.64,54.68
2025-05-01T11:15:00Z,54.69,54.71,54.51,54.57
2025-05-01T11:30:00Z,54.57,54.68,54.56,54.67
2025-05-01T11:45:00Z,54.68,54.74,54.68,54.71
2025-05-01T12:00:00Z,54.72,54.81,54.68,54.77
2025-05-01T12:15:00Z,54.78,54.85,54.7,54.73
2025-05-01T12:30:00Z,54.71,54.88,54.69,54.86
2025-05-01T12:45:00Z,54.87,54.87,54.77,54.83
2025-05-01T13:00:00Z,54.83,54.92,54.79,54.92
2025-05-01T13:15:00Z,54.92,55.04,54.895,55
2025-05-01T13:30:00Z,55,55,54.605,54.75
2025-05-01T13:45:00Z,54.75,54.8,54.53,54.53
2025-05-01T14:00:00Z,54.54,54.81,54.54,54.795
2025-05-01T14:15:00Z,54.8,54.935,54.8,54.91
2025-05-01T14:30:00Z,54.915,55.085,54.77,54.89
2025-05-01T14:45:00Z,54.89,55.17,54.87,55.16
2025-05-01T15:00:00Z,55.15,55.5,55.1,55.485
2025-05-01T15:15:00Z,55.48,55.5,55.225,55.31
2025-05-01T15:30:00Z,55.31,55.355,55.18,55.22
2025-05-01T15:45:00Z,55.22,55.26,55.115,55.13
2025-05-01T16:00:00Z,55.13,55.315,55.13,55.26
2025-05-01T16:15:00Z,55.25,55.355,55.12,55.35
2025-05-01T16:30:00Z,55.33,55.45,55.325,55.42
2025-05-01T16:45:00Z,55.41,55.44,55.21,55.23
2025-05-01T17:00:00Z,55.23,55.34,55.2,55.29
2025-05-01T17:15:00Z,55.29,55.36,55.13,55.15
2025-05-01T17:30:00Z,55.15,55.22,54.91,54.94
2025-05-01T17:45:00Z,54.95,55.1,54.91,55.095
2025-05-01T18:00:00Z,55.1,55.13,54.98,54.98
2025-05-01T18:15:00Z,54.975,55.01,54.905,54.91
2025-05-01T18:30:00Z,54.9,55.07,54.87,55.07
2025-05-01T18:45:00Z,55.075,55.17,55.07,55.13
2025-05-01T19:00:00Z,55.13,55.13,54.885,54.89
2025-05-01T19:15:00Z,54.89,54.97,54.845,54.87
2025-05-01T19:30:00Z,54.87,55.01,54.855,54.895
2025-05-01T19:45:00Z,54.88,54.995,54.879,54.925
2025-05-01T20:00:00Z,54.93,55.04,54.8,55.03
2025-05-01T20:15:00Z,55.04,55.14,55.02,55.02
2025-05-01T20:30:00Z,55.07,55.11,54.96,55
2025-05-01T20:45:00Z,54.95,54.97,54.81,54.83
2025-05-01T21:00:00Z,54.86,55.02,54.86,55.01
2025-05-01T21:15:00Z,54.98,54.98,54.93,54.93
2025-05-01T21:30:00Z,54.96,55,54.96,55
2025-05-01T21:45:00Z,54.98,54.98,54.94,54.94
2025-05-01T22:00:00Z,54.9,54.9,54.9,54.9
2025-05-01T22:15:00Z,54.94,54.94,54.91,54.91
2025-05-01T22:30:00Z,54.9,54.9,54.84,54.87
2025-05-01T22:45:00Z,54.82,54.82,54.78,54.78
2025-05-01T23:00:00Z,54.79,54.8,54.7,54.73
2025-05-01T23:15:00Z,54.75,54.79,54.75,54.78
2025-05-01T23:30:00Z,54.75,54.75,54.72,54.72
2025-05-01T23:45:00Z,54.79,54.92,54.79,54.92
2025-05-02T08:00:00Z,55.15,55.15,54.8,54.94
2025-05-02T08:15:00Z,54.94,55,54.92,54.97
2025-05-02T08:30:00Z,54.96,55.04,54.91,55.03
2025-05-02T08:45:00Z,55.04,55.05,54.95,54.95
2025-05-02T09:00:00Z,54.92,55.07,54.91,55.07
2025-05-02T09:15:00Z,55.06,55.06,54.84,55
2025-05-02T09:30:00Z,55.01,55.04,54.97,54.97
2025-05-02T09:45:00Z,54.99,55.04,54.98,54.99
2025-05-02T10:00:00Z,54.97,55.08,54.97,55.05
2025-05-02T10:15:00Z,55.05,55.13,55.05,55.12
2025-05-02T10:30:00Z,55.12,55.15,55.08,55.15
2025-05-02T10:45:00Z,55.14,55.16,55.1,55.11
2025-05-02T11:00:00Z,55.13,55.21,55.13,55.2
2025-05-02T11:15:00Z,55.19,55.25,55.15,55.18
2025-05-02T11:30:00Z,55.18,55.19,55.14,55.16
2025-05-02T11:45:00Z,55.17,55.2,55.13,55.16
