time,open,high,low,close
2025-09-24T21:00:00Z,64.46,64.5,64.43,64.5
2025-09-24T21:10:00Z,64.5,64.52,64.5,64.52
2025-09-24T21:20:00Z,64.53,64.53,64.51,64.51
2025-09-24T21:30:00Z,64.56,64.58,64.56,64.58
2025-09-24T21:40:00Z,64.55,64.55,64.42,64.42
2025-09-24T21:50:00Z,64.49,64.495,64.39,64.39
2025-09-24T22:00:00Z,64.45,64.46,64.44,64.46
2025-09-24T22:10:00Z,64.53,64.53,64.5,64.5
2025-09-24T22:30:00Z,64.45,64.45,64.4,64.4
2025-09-24T22:40:00Z,64.4,64.42,64.4,64.4
2025-09-24T22:50:00Z,64.35,64.36,64.34,64.36
2025-09-24T23:00:00Z,64.38,64.4,64.38,64.4
2025-09-24T23:10:00Z,64.42,64.42,64.36,64.37
2025-09-24T23:20:00Z,64.31,64.44,64.3,64.44
2025-09-24T23:30:00Z,64.41,64.41,64.33,64.36
2025-09-24T23:40:00Z,64.32,64.35,64.3,64.35
2025-09-24T23:50:00Z,64.35,64.35,64.35,64.35
2025-09-25T08:00:00Z,63.67,63.68,63.41,63.54
2025-09-25T08:10:00Z,63.57,63.63,63.54,63.56
2025-09-25T08:20:00Z,63.56,63.65,63.55,63.64
2025-09-25T08:30:00Z,63.62,63.62,63.54,63.55
2025-09-25T08:40:00Z,63.56,63.57,63.47,63.49
2025-09-25T08:50:00Z,63.5,63.51,63.45,63.48
2025-09-25T09:00:00Z,63.47,63.54,63.45,63.54
2025-09-25T09:10:00Z,63.54,63.61,63.54,63.59
2025-09-25T09:20:00Z,63.59,63.74,63.58,63.65
2025-09-25T09:30:00Z,63.65,63.67,63.52,63.53
2025-09-25T09:40:00Z,63.55,63.55,63.45,63.45
2025-09-25T09:50:00Z,63.44,63.44,63.35,63.35
2025-09-25T10:00:00Z,63.35,63.41,63.33,63.41
2025-09-25T10:10:00Z,63.41,63.49,63.4,63.47
2025-09-25T10:20:00Z,63.47,63.52,63.45,63.46
2025-09-25T10:30:00Z,63.47,63.49,63.45,63.47
2025-09-25T10:40:00Z,63.46,63.46,63.36,63.36
2025-09-25T10:50:00Z,63.37,63.4,63.36,63.39
2025-09-25T11:00:00Z,63.39,63.42,63.32,63.32
2025-09-25T11:10:00Z,63.35,63.35,63.28,63.31
2025-09-25T11:20:00Z,63.32,63.35,63.26,63.34
2025-09-25T11:30:00Z,63.35,63.37,63.24,63.25
2025-09-25T11:40:00Z,63.24,63.29,63.22,63.23
2025-09-25T11:50:00Z,63.22,63.27,63.18,63.22
2025-09-25T12:00:00Z,63.21,63.38,63.2,63.375
2025-09-25T12:10:00Z,63.37,63.4,63.31,63.32
2025-09-25T12:20:00Z,63.33,63.36,63.1,63.13
2025-09-25T12:30:00Z,63.12,63.42,63.06,63.2
2025-09-25T12:40:00Z,63.23,63.28,63.09,63.21
2025-09-25T12:50:00Z,63.21,63.25,63.08,63.08
2025-09-25T13:00:00Z,63.09,63.11,62.94,62.96
2025-09-25T13:10:00Z,62.96,63.35,62.95,63.3
2025-09-25T13:20:00Z,63.29,63.41,63.26,63.395
2025-09-25T13:30:00Z,63.38,63.43,63.12,63.13
2025-09-25T13:40:00Z,63.13,63.14,62.77,62.895
2025-09-25T13:50:00Z,62.895,63,62.88,62.99
2025-09-25T14:00:00Z,62.99,63.12,62.97,63.085
2025-09-25T14:10:00Z,63.08,63.38,63.045,63.37
2025-09-25T14:20:00Z,63.38,63.415,63.28,63.28
2025-09-25T14:30:00Z,63.3,63.43,63.24,63.26
2025-09-25T14:40:00Z,63.26,63.35,63.2,63.32
2025-09-25T14:50:00Z,63.32,63.35,63.21,63.315
2025-09-25T15:00:00Z,63.31,63.34,63.15,63.15
2025-09-25T15:10:00Z,63.15,63.22,63.095,63.125
2025-09-25T15:20:00Z,63.13,63.14,62.9,62.96
2025-09-25T15:30:00Z,62.96,63.15,62.92,63.13
2025-09-25T15:40:00Z,63.13,63.26,63.13,63.26
2025-09-25T15:50:00Z,63.25,63.34,63.19,63.34
2025-09-25T16:00:00Z,63.34,63.41,63.29,63.37
2025-09-25T16:10:00Z,63.37,63.39,63.18,63.2
2025-09-25T16:20:00Z,63.21,63.23,63.04,63.05
2025-09-25T16:30:00Z,63.05,63.15,63.02,63.04
2025-09-25T16:40:00Z,63.04,63.075,62.96,62.975
2025-09-25T16:50:00Z,62.98,63.05,62.93,62.96
2025-09-25T17:00:00Z,62.96,62.97,62.8,62.83
2025-09-25T17:10:00Z,62.82,62.84,62.495,62.5
2025-09-25T17:20:00Z,62.51,62.52,62.34,62.38
2025-09-25T17:30:00Z,62.37,62.41,62.1,62.17
2025-09-25T17:40:00Z,62.17,62.22,61.88,61.9
2025-09-25T17:50:00Z,61.9,62.03,61.63,61.71
2025-09-25T18:00:00Z,61.7,61.855,61.59,61.79
2025-09-25T18:10:00Z,61.8,62.07,61.7,62.04
2025-09-25T18:20:00Z,62.05,62.2,62.02,62.09
2025-09-25T18:30:00Z,62.08,62.14,61.979,62.08
2025-09-25T18:40:00Z,62.08,62.2,62.015,62.14
2025-09-25T18:50:00Z,62.13,62.32,62.12,62.285
2025-09-25T19:00:00Z,62.285,62.36,62.28,62.31
2025-09-25T19:10:00Z,62.31,62.33,62.19,62.32
2025-09-25T19:20:00Z,62.32,62.41,62.28,62.32
2025-09-25T19:30:00Z,62.315,62.37,62.17,62.2
2025-09-25T19:40:00Z,62.19,62.19,62.095,62.125
2025-09-25T19:50:00Z,62.12,62.16,62.03,62.09
2025-09-25T20:00:00Z,62.08,62.14,62.01,62.01
2025-09-25T20:10:00Z,62.01,62.05,61.95,62.05
2025-09-25T20:20:00Z,62.03,62.09,62.02,62.06
2025-09-25T20:30:00Z,62.06,62.07,61.9,61.92
2025-09-25T20:40:00Z,61.91,62,61.9,61.96
2025-09-25T20:50:00Z,61.95,61.97,61.91,61.94
2025-09-25T21:00:00Z,61.96,62.2,61.94,62.2
2025-09-25T21:10:00Z,62.2,62.24,62.09,62.17
2025-09-25T21:20:00Z,62.15,62.2,62.06,62.08
2025-09-25T21:30:00Z,62.05,62.05,62.01,62.01
2025-09-25T21:40:00Z,62.01,62.02,62.01,62.01
2025-09-25T21:50:00Z,62.08,62.15,62.08,62.1
2025-09-25T22:00:00Z,62.09,62.13,62.05,62.06
2025-09-25T22:10:00Z,62.13,62.18,62.12,62.12
2025-09-25T22:20:00Z,62.11,62.18,62.11,62.15
2025-09-25T22:30:00Z,62.12,62.12,62.06,62.06
2025-09-25T22:40:00Z,62.08,62.08,62.03,62.05
2025-09-25T22:50:00Z,62.04,62.04,62.03,62.03
2025-09-25T23:00:00Z,62.09,62.23,62.08,62.23
2025-09-25T23:10:00Z,62.22,62.22,62.15,62.15
2025-09-25T23:20:00Z,62.11,62.11,62.04,62.11
2025-09-25T23:30:00Z,62.08,62.08,61.75,61.85
2025-09-25T23:40:00Z,61.9,61.94,61.85,61.85
2025-09-25T23:50:00Z,61.82,61.86,61.81,61.86
2025-09-26T08:00:00Z,61.88,62.25,61.88,62.19
2025-09-26T08:10:00Z,62.18,62.21,62.16,62.18
2025-09-26T08:20:00Z,62.2,62.23,62.12,62.22
2025-09-26T08:30:00Z,62.23,62.24,62.18,62.23
2025-09-26T08:40:00Z,62.23,62.28,62.21,62.25
2025-09-26T08:50:00Z,62.24,62.29,62.22,62.24
2025-09-26T09:00:00Z,62.24,62.26,62.16,62.25
2025-09-26T09:10:00Z,62.25,62.3,62.23,62.27
2025-09-26T09:20:00Z,62.27,62.31,62.27,62.31
2025-09-26T09:30:00Z,62.31,62.33,62.17,62.19
2025-09-26T09:40:00Z,62.18,62.2,62.13,62.18
2025-09-26T09:50:00Z,62.19,62.24,62.19,62.24
2025-09-26T10:00:00Z,62.24,62.24,62,62.03
2025-09-26T10:10:00Z,62.03,62.08,61.9,61.95
2025-09-26T10:20:00Z,61.95,62,61.94,61.98
2025-09-26T10:30:00Z,61.98,62,61.79,61.85
2025-09-26T10:40:00Z,61.85,61.85,61.73,61.8
2025-09-26T10:50:00Z,61.82,61.88,61.79,61.84
2025-09-26T11:00:00Z,61.84,61.87,61.75,61.79
2025-09-26T11:10:00Z,61.79,61.83,61.7,61.76
2025-09-26T11:20:00Z,61.75,61.82,61.73,61.77
2025-09-26T11:30:00Z,61.78,61.93,61.77,61.93
2025-09-26T11:40:00Z,61.93,62,61.9,61.98
2025-09-26T11:50:00Z,61.99,62.04,61.98,62.01
2025-09-26T12:00:00Z,62.01,62.01,61.92,61.92
2025-09-26T12:10:00Z,61.93,61.98,61.86,61.93
2025-09-26T12:20:00Z,61.92,61.95,61.8,61.95
2025-09-26T12:30:00Z,61.96,62.25,61.9,62.1
2025-09-26T12:40:00Z,62.11,62.23,62.07,62.14
2025-09-26T12:50:00Z,62.15,62.18,62.02,62.13
2025-09-26T13:00:00Z,62.13,62.21,62.02,62.05
2025-09-26T13:10:00Z,62.05,62.06,61.97,62.06
2025-09-26T13:20:00Z,62.05,62.11,61.98,61.99
2025-09-26T13:30:00Z,62,62.25,61.91,62.22
2025-09-26T13:40:00Z,62.21,62.31,62.1,62.28
2025-09-26T13:50:00Z,62.27,62.34,62.175,62.29
2025-09-26T14:00:00Z,62.28,62.36,62.05,62.14
2025-09-26T14:10:00Z,62.15,62.18,61.955,62.09
2025-09-26T14:20:00Z,62.085,62.09,61.78,61.89
2025-09-26T14:30:00Z,61.885,61.91,61.7,61.87
2025-09-26T14:40:00Z,61.86,61.86,61.72,61.76
2025-09-26T14:50:00Z,61.76,61.88,61.67,61.74
2025-09-26T15:00:00Z,61.74,61.91,61.7,61.83
2025-09-26T15:10:00Z,61.84,61.95,61.75,61.93
2025-09-26T15:20:00Z,61.929,62.05,61.87,62.04
2025-09-26T15:30:00Z,62.03,62.05,61.91,61.97
2025-09-26T15:40:00Z,61.98,62.05,61.96,61.97
2025-09-26T15:50:00Z,61.97,61.97,61.84,61.86
2025-09-26T16:00:00Z,61.86,62.01,61.85,62
2025-09-26T16:10:00Z,62,62.18,61.97,62.18
2025-09-26T16:20:00Z,62.18,62.24,62.14,62.18
2025-09-26T16:30:00Z,62.17,62.2,62.04,62.05
2025-09-26T16:40:00Z,62.05,62.1,62.01,62.09
2025-09-26T16:50:00Z,62.085,62.15,62.06,62.13
2025-09-26T17:00:00Z,62.12,62.19,62.08,62.15
2025-09-26T17:10:00Z,62.14,62.23,62.13,62.18
2025-09-26T17:20:00Z,62.18,62.45,62.16,62.41
2025-09-26T17:30:00Z,62.42,62.435,62.29,62.41
2025-09-26T17:40:00Z,62.41,62.46,62.37,62.44
2025-09-26T17:50:00Z,62.43,62.45,62.31,62.41
2025-09-26T18:00:00Z,62.41,62.48,62.36,62.36
2025-09-26T18:10:00Z,62.37,62.585,62.37,62.56
2025-09-26T18:20:00Z,62.56,62.65,62.52,62.58
2025-09-26T18:30:00Z,62.59,62.59,62.46,62.47
2025-09-26T18:40:00Z,62.47,62.47,62.31,62.42
2025-09-26T18:50:00Z,62.41,62.42,62.26,62.28
2025-09-26T19:00:00Z,62.27,62.28,62.115,62.17
2025-09-26T19:10:00Z,62.16,62.26,62.12,62.215
2025-09-26T19:20:00Z,62.21,62.22,62.02,62.02
2025-09-26T19:30:00Z,62.01,62.04,61.89,61.925
2025-09-26T19:40:00Z,61.92,61.97,61.865,61.97
2025-09-26T19:50:00Z,61.96,61.995,61.9,61.95
2025-09-26T20:00:00Z,61.95,62.03,61.92,62
2025-09-26T20:10:00Z,61.98,62.04,61.95,61.95
2025-09-26T20:20:00Z,61.94,61.98,61.93,61.98
2025-09-26T20:30:00Z,61.96,62.02,61.96,62
2025-09-26T20:40:00Z,61.99,62.01,61.98,62.01
2025-09-26T20:50:00Z,62.04,62.05,61.99,62.02
2025-09-26T21:00:00Z,62.01,62.01,61.99,61.99
2025-09-26T21:10:00Z,62,62.12,62,62.04
2025-09-26T21:20:00Z,62.03,62.12,62.03,62.09
2025-09-26T21:30:00Z,62.12,62.12,62.1,62.1
2025-09-26T21:40:00Z,62.09,62.09,62.05,62.05
2025-09-26T21:50:00Z,62.06,62.12,62.06,62.12
2025-09-26T22:00:00Z,62.08,62.08,62.08,62.08
2025-09-26T22:10:00Z,62.11,62.18,62.11,62.18
2025-09-26T22:30:00Z,62.17,62.19,62.17,62.19
2025-09-26T22:50:00Z,62.22,62.22,62.17,62.17
2025-09-26T23:00:00Z,62.18,62.2,62.18,62.2
2025-09-26T23:10:00Z,62.17,62.17,62.13,62.13
2025-09-26T23:20:00Z,62.19,62.19,62.19,62.19
2025-09-26T23:30:00Z,62.19,62.21,62.19,62.21
2025-09-26T23:40:00Z,62.23,62.24,62.23,62.24
2025-09-26T23:50:00Z,62.25,62.25,62.23,62.23
2025-09-29T08:00:00Z,63.53,63.69,63.36,63.69
2025-09-29T08:10:00Z,63.67,63.7,63.61,63.7
2025-09-29T08:20:00Z,63.69,63.77,63.67,63.75
2025-09-29T08:30:00Z,63.76,63.77,63.69,63.745
2025-09-29T08:40:00Z,63.75,63.885,63.74,63.74
2025-09-29T08:50:00Z,63.74,63.79,63.69,63.69
2025-09-29T09:00:00Z,63.7,63.73,63.7,63.7
