time,open,high,low,close,Volume,Volume,Volume,Volume,Volume,Volume,Volume,Volume,SMA #1,SMA #2,SMA #3
1759966560,34.32,34.32,34.32,34.32,1,1,1,1,1,1,1,1,34.205999999999996,34.18214000000007,34.127644999999895
1759966800,34.3,34.3,34.3,34.3,150,150,150,150,150,150,150,150,34.209599999999995,34.18324000000007,34.1309199999999
1759967040,34.28,34.28,34.28,34.28,8050,8050,8050,8050,8050,8050,8050,8050,34.212799999999994,34.184840000000065,34.13421999999989
1759967160,34.28,34.28,34.28,34.28,2,2,2,2,2,2,2,2,34.21639999999999,34.18684000000007,34.137319999999896
1759967280,34.27,34.27,34.27,34.27,300,300,300,300,300,300,300,300,34.21959999999999,34.188540000000074,34.140469999999894
1759967400,34.26,34.26,34.26,34.26,3,3,3,3,3,3,3,3,34.222799999999985,34.19054000000008,34.143319999999896
1759967760,34.25,34.25,34.25,34.25,102,102,102,102,102,102,102,102,34.22539999999999,34.19254000000008,34.1462449999999
1759967880,34.25,34.25,34.25,34.25,398,398,398,398,398,398,398,398,34.22759999999999,34.19424000000007,34.1492699999999
1759996800,33.7,33.7,33.5,33.5,1530,1530,1530,1530,1530,1530,1530,1530,34.21519999999999,34.18779000000007,34.1488199999999
1759996920,33.47,33.5,33.47,33.49,2600,2600,2600,2600,2600,2600,2600,2600,34.20259999999999,34.18119000000007,34.1481699999999
1759997040,33.46,33.46,33.44,33.44,4185,4185,4185,4185,4185,4185,4185,4185,34.188999999999986,34.173700000000075,34.1473699999999
1759997160,33.42,33.42,33.41,33.41,165,165,165,165,165,165,165,165,34.173999999999985,34.16590000000007,34.1462699999999
1759997280,33.41,33.41,33.36,33.36,2702,2702,2702,2702,2702,2702,2702,2702,34.15799999999999,34.15770000000007,34.144819999999896
1759997400,33.36,33.39,33.36,33.39,1762,1762,1762,1762,1762,1762,1762,1762,34.14239999999999,34.149700000000074,34.1432699999999
1759997520,33.39,33.39,33.35,33.35,1815,1815,1815,1815,1815,1815,1815,1815,34.125199999999985,34.14130000000007,34.1416199999999
1759997640,33.34,33.34,33.14,33.16,47005,47005,47005,47005,47005,47005,47005,47005,34.103599999999986,34.13095000000007,34.1388199999999
1759997760,33.21,33.22,33.17,33.21,7011,7011,7011,7011,7011,7011,7011,7011,34.08359999999999,34.12075000000007,34.1362699999999
