time,open,high,low,close,SMA #1,SMA #2,SMA #3
1758796020,87.71,87.71,87.71,87.71,88.92490000000019,89.05409999999982,89.17287500000052
1758798000,87.63,87.63,87.63,87.63,88.89490000000019,89.03839999999983,89.1647250000005
1758798420,87.6,87.6,87.6,87.6,88.86390000000021,89.02289999999982,89.15627500000052
1758798600,87.55,87.55,87.55,87.55,88.83230000000022,89.00649999999983,89.1475750000005
1758798660,87.5,87.5,87.5,87.5,88.79990000000022,88.98939999999985,89.1387250000005
1758799020,87.57,87.57,87.57,87.57,88.7691000000002,88.97289999999984,89.13037500000051
1758799080,87.5,87.5,87.5,87.5,88.73770000000022,88.95549999999984,89.1214750000005
1758799800,87.57,87.57,87.57,87.57,88.70790000000021,88.93899999999985,89.11287500000051
1758800160,87.43,87.43,87.43,87.43,88.67590000000023,88.92089999999983,89.10382500000051
1758800520,87.4,87.4,87.4,87.4,88.6427000000002,88.90259999999985,89.09437500000051
1758800700,87.44,87.44,87.44,87.44,88.6111000000002,88.88499999999985,89.08527500000051
1758800820,87.45,87.45,87.45,87.45,88.57990000000022,88.86739999999985,89.07627500000052
1758801300,87.46,87.46,87.46,87.46,88.54890000000022,88.84989999999985,89.0672250000005
1758801600,87.37,87.37,87.37,87.37,88.5177000000002,88.83129999999987,89.05787500000051
1758801720,87.39,87.39,87.39,87.39,88.48690000000022,88.81289999999986,89.04882500000052
1758801780,87.39,87.39,87.39,87.39,88.45590000000021,88.79469999999985,89.03962500000053
1758801840,87.45,87.45,87.45,87.45,88.42650000000022,88.77789999999985,89.03042500000052
1758801960,87.5,87.5,87.5,87.5,88.39790000000022,88.76129999999986,89.02117500000053
1758802620,87.54,87.54,87.54,87.54,88.37000000000023,88.74519999999985,89.01202500000052
1758802920,87.52,87.52,87.51,87.51,88.34140000000023,88.72899999999987,89.00267500000051
1758803040,87.49,87.49,87.49,87.49,88.31240000000024,88.71219999999987,88.99305000000051
1758803160,87.5,87.5,87.5,87.5,88.28320000000024,88.69519999999987,88.98350000000052
1758803340,87.27,87.27,87.23,87.23,88.24900000000024,88.67549999999987,88.97260000000051
1758803400,87.49,87.49,87.49,87.49,88.22100000000025,88.65829999999987,88.96325000000051
1758803520,87.45,87.45,87.45,87.45,88.19180000000024,88.64089999999987,88.95370000000054
1758803700,87.6,87.6,87.6,87.6,88.16500000000023,88.62509999999986,88.94495000000053
1758804360,87.25,87.25,87.22,87.23,88.13000000000024,88.60539999999986,88.93435000000053
1758804900,87.25,87.25,87.25,87.25,88.09560000000023,88.58579999999985,88.92390000000054
1758805020,87.25,87.25,87.25,87.25,88.06060000000025,88.56669999999986,88.91340000000054
1758805140,87.17,87.17,87.17,87.17,88.02260000000025,88.54679999999986,88.90255000000053
1758805200,87.19,87.19,87.17,87.17,87.98540000000027,88.52719999999987,88.89180000000053
1758805260,87.11,87.11,87.11,87.11,87.94620000000026,88.50639999999987,88.88075000000053
1758805440,87.05,87.05,87,87,87.90620000000027,88.48449999999988,88.86920000000055
1758805500,87.02,87.02,86.99,87,87.86640000000027,88.4625999999999,88.85755000000054
1758805560,87.09,87.17,87.09,87.17,87.82980000000026,88.4424999999999,88.84705000000052
1758805620,87.1,87.1,87.1,87.1,87.79080000000026,88.4212999999999,88.83610000000053
1758805800,87.04,87.04,87.04,87.04,87.75160000000025,88.39989999999989,88.82475000000053
1758805920,87.12,87.12,87.12,87.12,87.71380000000025,88.37929999999989,88.81370000000052
1758805980,87.12,87.12,87.12,87.12,87.67460000000024,88.35849999999988,88.80245000000052
1758806040,87.16,87.16,87.16,87.16,87.63580000000026,88.33799999999988,88.79120000000052
1758806100,87.26,87.4,87.25,87.4,87.60260000000025,88.32009999999987,88.78105000000052
1758806160,87.36,87.36,87.36,87.36,87.56840000000028,88.30229999999989,88.77075000000052
1758806220,87.4,87.48,87.4,87.48,87.53840000000025,88.28554999999987,88.76100000000051
1758806280,87.5,87.53,87.5,87.53,87.50900000000027,88.26934999999989,88.75145000000052
1758806400,87.47,87.49,87.47,87.49,87.48020000000028,88.25254999999989,88.74180000000051
1758806460,87.49,87.49,87.49,87.49,87.45120000000026,88.23604999999989,88.73210000000051
1758806640,87.51,87.51,87.5,87.5,87.42220000000026,88.21964999999987,88.72250000000051
1758806700,87.54,87.54,87.48,87.5,87.39420000000027,88.20314999999988,88.71285000000051
1758806940,87.6,87.6,87.6,87.6,87.39340000000026,88.18784999999987,88.70370000000052
1758807000,87.59,87.59,87.45,87.53,87.38980000000026,88.17164999999989,88.6941000000005
1758807060,87.54,87.59,87.52,87.57,87.38700000000026,88.15594999999989,88.68465000000052
1758807120,87.58,87.63,87.53,87.62,87.38680000000026,88.14084999999989,88.67575000000052
1758807180,87.63,87.67,87.6,87.61,87.38700000000026,88.12544999999987,88.66690000000051
1758807240,87.6,87.62,87.53,87.53,87.38660000000026,88.10944999999987,88.6580000000005
1758807300,87.55,87.56,87.49,87.5,87.38660000000026,88.09324999999986,88.64890000000051
1758807360,87.49,87.5,87.38,87.415,87.38350000000025,88.07629999999986,88.6396250000005
1758807420,87.45,87.49,87.44,87.44,87.38230000000027,88.05999999999987,88.6306250000005
1758807480,87.4,87.4,87.31,87.33,87.37750000000027,88.04269999999988,88.6209250000005
1758807540,87.34,87.35,87.24,87.26,87.37410000000027,88.02499999999988,88.61082500000049
