time,open,high,low,close,Volume,Volume,Volume,Volume,Volume,Volume,Volume,SMA #1,SMA #2,SMA #3
1760025480,68.81,68.86,68.81,68.82,9017,9017,9017,9017,9017,9017,9017,68.88980000000033,69.39043999999986,69.42926999999986
1760025600,68.84,68.94,68.81,68.93,13218,13218,13218,13218,13218,13218,13218,68.88240000000033,69.37723999999986,69.42856999999987
1760025720,68.92,68.94,68.86,68.93,9364,9364,9364,9364,9364,9364,9364,68.87780000000032,69.36473999999987,69.42796999999987
1760025840,68.93,68.98,68.92,68.93,12279,12279,12279,12279,12279,12279,12279,68.87340000000033,69.35263999999987,69.42756999999987
1760025960,68.92,68.93,68.835,68.86,13262,13262,13262,13262,13262,13262,13262,68.86840000000034,69.33993999999987,69.42631999999986
1760026080,68.855,68.89,68.855,68.87,8180,8180,8180,8180,8180,8180,8180,68.86360000000032,69.32793999999987,69.42506999999986
1760026200,68.88,68.95,68.88,68.93,10692,10692,10692,10692,10692,10692,10692,68.86160000000032,69.31573999999986,69.42386999999987
1760026320,68.94,68.94,68.91,68.92,10793,10793,10793,10793,10793,10793,10793,68.86020000000033,69.30373999999986,69.42291999999986
1760026440,68.915,68.915,68.86,68.91,18594,18594,18594,18594,18594,18594,18594,68.85930000000033,69.29153999999987,69.42161999999986
1760026560,68.91,69,68.89,68.97,34097,34097,34097,34097,34097,34097,34097,68.85770000000034,69.27873999999986,69.42056999999987
1760026680,68.965,69.02,68.95,68.95,17594,17594,17594,17594,17594,17594,17594,68.85670000000033,69.26623999999987,69.41956999999988
1760026800,68.94,68.94,68.82,68.87,15843,15843,15843,15843,15843,15843,15843,68.85340000000033,69.25333999999987,69.41831999999988
1760026920,68.86,68.87,68.78,68.81,38854,38854,38854,38854,38854,38854,38854,68.85040000000032,69.23944999999986,69.41661999999988
1760027040,68.82,68.85,68.78,68.78,41458,41458,41458,41458,41458,41458,41458,68.84900000000033,69.22584999999987,69.41511999999987
1760027160,68.8,68.94,68.8,68.935,28927,28927,28927,28927,28927,28927,28927,68.85410000000032,69.21429999999987,69.41419499999988
1760027280,68.94,68.97,68.84,68.88,36800,36800,36800,36800,36800,36800,36800,68.85730000000031,69.20269999999987,69.41294499999987
1760027400,68.88,68.89,68.84,68.86,15275,15275,15275,15275,15275,15275,15275,68.85750000000031,69.19069999999986,69.41154499999988
1760027520,68.85,68.88,68.82,68.86,9252,9252,9252,9252,9252,9252,9252,68.85690000000031,69.17919999999987,69.40989499999988
1760027640,68.86,68.88,68.82,68.85,33069,33069,33069,33069,33069,33069,33069,68.85530000000031,69.16759999999987,69.40819499999988
1760027760,68.855,68.92,68.845,68.88,13398,13398,13398,13398,13398,13398,13398,68.85430000000031,69.15549999999988,69.40654499999987
1760027880,68.89,68.9,68.86,68.86,4376,4376,4376,4376,4376,4376,4376,68.85310000000031,69.14329999999987,69.40499499999987
1760028000,68.87,68.88,68.6,68.6,60044,60044,60044,60044,60044,60044,60044,68.84310000000032,69.12799999999987,69.40224499999987
1760028120,68.6,68.669,68.51,68.65,138729,138729,138729,138729,138729,138729,138729,68.83430000000031,69.11329999999987,69.39944499999987
1760028240,68.63,68.68,68.59,68.59,28328,28328,28328,28328,28328,28328,28328,68.82540000000031,69.09779999999986,69.39659499999986
1760028360,68.58,68.61,68.53,68.589,26204,26204,26204,26204,26204,26204,26204,68.81778000000031,69.08208999999987,69.39363999999986
1760028480,68.58,68.61,68.55,68.58,11476,11476,11476,11476,11476,11476,11476,68.80878000000031,69.06628999999987,69.39058999999986
1760028600,68.57,68.59,68.5,68.57,49277,49277,49277,49277,49277,49277,49277,68.80158000000031,69.05108999999987,69.38763999999986
1760028720,68.57,68.57,68.36,68.435,166627,166627,166627,166627,166627,166627,166627,68.7914800000003,69.03613999999988,69.38391499999985
1760028840,68.44,68.49,68.265,68.34,120609,120609,120609,120609,120609,120609,120609,68.77968000000031,69.02008999999988,69.37976499999985
1760028960,68.33,68.36,68.28,68.3,35974,35974,35974,35974,35974,35974,35974,68.7674800000003,69.00318999999988,69.37541499999985
1760029080,68.3,68.3,68.01,68.09,163115,163115,163115,163115,163115,163115,163115,68.75108000000031,68.98438999999988,69.37026499999985
1760029200,68.08,68.27,67.95,68.14,218328,218328,218328,218328,218328,218328,218328,68.73548000000031,68.96698999999988,69.36521499999985
1760029320,68.14,68.185,68.04,68.08,65468,65468,65468,65468,65468,65468,65468,68.71928000000031,68.95038999999989,69.35986499999984
1760029440,68.08,68.18,68.03,68.1,109211,109211,109211,109211,109211,109211,109211,68.7044800000003,68.93358999999988,69.35486499999985
1760029560,68.11,68.17,68.08,68.15,46107,46107,46107,46107,46107,46107,46107,68.69048000000029,68.91758999999988,69.35006499999984
