time,open,high,low,close,Volume,SMA #1,SMA #2,SMA #3
1759134180,17.47,17.47,17.47,17.47,1,16.971900000000087,16.770250000000022,16.680575000000115
1759134300,17.44,17.45,17.44,17.45,132,16.982900000000086,16.779150000000023,16.68422500000012
1759134660,17.45,17.45,17.45,17.45,5,16.993300000000087,16.788450000000022,16.68807500000012
1759135080,17.47,17.48,17.47,17.48,9,17.004900000000088,16.79855000000002,16.692225000000118
1759135620,17.48,17.48,17.48,17.48,13,17.016100000000087,16.80855000000002,16.695975000000118
1759135800,17.49,17.49,17.49,17.49,1,17.027500000000085,16.818950000000022,16.70037500000012
1759136340,17.46,17.46,17.46,17.46,70,17.038500000000088,16.829150000000023,16.70417500000012
1759136580,17.45,17.45,17.45,17.45,10,17.049500000000087,16.83965000000002,16.70777500000012
1759137180,17.42,17.42,17.42,17.42,105,17.058900000000087,16.850350000000024,16.711175000000118
1759138440,17.37,17.37,17.37,17.37,5,17.067300000000085,16.860350000000025,16.714425000000116
1759141440,17.34,17.34,17.34,17.34,1000,17.074500000000086,16.870050000000024,16.717575000000117
1759142520,17.37,17.37,17.37,17.37,605,17.082300000000085,16.879950000000022,16.72092500000012
1759143600,17.33,17.33,17.28,17.28,2758,17.087700000000087,16.889150000000022,16.72387500000012
1759144020,17.28,17.28,17.28,17.28,17,17.093700000000087,16.898350000000022,16.72682500000012
1759144620,17.31,17.31,17.31,17.31,12,17.099900000000087,16.907850000000025,16.72992500000012
1759145940,17.28,17.28,17.28,17.28,39,17.105300000000085,16.91705000000002,16.73282500000012
1759146000,17.28,17.28,17.28,17.28,1,17.110700000000087,16.925850000000022,16.73552500000012
1759146240,17.27,17.27,17.27,17.27,7,17.116500000000084,16.934850000000026,16.738575000000118
1759146300,17.27,17.27,17.27,17.27,20,17.122700000000084,16.943750000000026,16.741475000000122
1759146660,17.27,17.27,17.27,17.27,5,17.129100000000086,16.952650000000027,16.74452500000012
1759147320,17.25,17.25,17.25,17.25,105,17.134900000000084,16.960600000000024,16.74752500000012
1759148760,17.3,17.3,17.3,17.3,243,17.141300000000086,16.968900000000023,16.751025000000123
1759149240,17.32,17.32,17.32,17.32,80,17.148300000000084,16.976800000000026,16.75477500000012
1759149420,17.29,17.29,17.29,17.29,20,17.155100000000086,16.984100000000023,16.75792500000012
1759149720,17.27,17.27,17.27,17.27,300,17.161300000000086,16.991300000000027,16.761525000000123
1759149840,17.27,17.27,17.27,17.27,8,17.167300000000086,16.998000000000026,16.765025000000122
1759150500,17.23,17.23,17.23,17.23,7,17.172500000000085,17.004300000000026,16.76817500000012
1759150920,17.24,17.24,17.24,17.24,15,17.178900000000084,17.010550000000027,16.77107500000012
1759152660,17.24,17.24,17.24,17.24,3,17.185500000000086,17.01755000000003,16.773725000000123
1759152720,17.27,17.27,17.27,17.27,400,17.193100000000086,17.02445000000003,16.77652500000012
1759152840,17.23,17.23,17.23,17.23,200,17.200300000000087,17.031350000000028,16.77922500000012
1759152900,17.25,17.25,17.25,17.25,300,17.208500000000086,17.037850000000027,16.78167500000012
1759152960,17.29,17.29,17.29,17.29,20,17.217300000000087,17.044350000000026,16.78487500000012
1759153020,17.29,17.29,17.29,17.29,2,17.226700000000086,17.050950000000025,16.787525000000123
1759153260,17.31,17.35,17.31,17.35,8534,17.236300000000085,17.057550000000028,16.79102500000012
1759153320,17.33,17.33,17.33,17.33,100,17.244500000000087,17.064350000000026,16.79447500000012
1759153440,17.39,17.39,17.39,17.39,400,17.253100000000085,17.071850000000026,16.79857500000012
1759153620,17.43,17.43,17.43,17.43,115,17.263000000000087,17.079550000000026,16.80252500000012
1759153800,17.42,17.42,17.41,17.41,16,17.272000000000084,17.086650000000024,16.80672500000012
1759154160,17.4,17.4,17.4,17.4,4646,17.283600000000085,17.09375000000002,16.81122500000012
1759154400,17.42,17.42,17.42,17.42,300,17.294000000000086,17.101150000000025,16.816125000000124
1759154640,17.5,17.5,17.5,17.5,21,17.306600000000085,17.108550000000026,16.821425000000122
1759154700,17.5,17.5,17.5,17.5,599,17.318600000000085,17.115850000000027,16.82637500000012
1759154760,17.47,17.47,17.47,17.47,100,17.330400000000086,17.122950000000024,16.83167500000012
1759154880,17.47,17.47,17.47,17.47,100,17.341000000000086,17.130150000000025,16.836825000000122
1759155180,17.53,17.53,17.53,17.53,100,17.354800000000083,17.137550000000022,16.84257500000012
1759155240,17.53,17.6,17.53,17.6,132,17.368400000000086,17.145750000000024,16.848525000000123
1759155300,17.65,17.65,17.65,17.65,150,17.371400000000087,17.154450000000022,16.855275000000123
1759155420,17.69,17.69,17.69,17.69,100,17.375600000000084,17.16255000000002,16.86217500000012
1759155480,17.62,17.62,17.6,17.6,20,17.379000000000087,17.169650000000022,16.868575000000124
1759155780,17.57,17.57,17.57,17.57,400,17.381000000000082,17.176450000000024,16.874675000000124
1759155840,17.55,17.55,17.55,17.55,100,17.383000000000084,17.182950000000023,16.880675000000124
1759155960,17.59,17.59,17.59,17.59,4,17.385800000000085,17.189550000000022,16.886275000000122
1759156020,17.6,17.6,17.6,17.6,225,17.388200000000083,17.196550000000023,16.892025000000125
1759156260,17.58,17.59,17.58,17.59,1100,17.390400000000085,17.203250000000022,16.897725000000122
1759156440,17.58,17.58,17.58,17.58,100,17.392200000000084,17.20985000000002,16.903575000000124
1759156500,17.57,17.57,17.54,17.54,282,17.393800000000084,17.21615000000002,16.909175000000122
1759156680,17.56,17.56,17.56,17.56,2,17.396000000000083,17.222750000000023,16.914875000000123
1759156920,17.57,17.57,17.57,17.57,1,17.399000000000086,17.22895000000002,16.920275000000125
1759156980,17.57,17.57,17.57,17.57,100,17.403000000000084,17.23515000000002,16.924625000000127
1759157040,17.57,17.57,17.56,17.56,101,17.407400000000084,17.24095000000002,16.929225000000123
1759157400,17.63,17.63,17.63,17.63,99,17.412600000000083,17.24745000000002,16.934175000000124
1759157640,17.61,17.61,17.61,17.61,13,17.41920000000008,17.25345000000002,16.939075000000123
1759157700,17.61,17.61,17.6,17.6,706,17.425600000000085,17.25965000000002,16.944075000000122
1759157880,17.6,17.6,17.6,17.6,2,17.43140000000008,17.26565000000002,16.949225000000123
1759158000,17.58,17.58,17.58,17.58,5,17.437400000000082,17.27135000000002,16.953875000000124
1759158060,17.59,17.59,17.59,17.59,13,17.44360000000008,17.27715000000002,16.958625000000122
1759158180,17.58,17.58,17.58,17.58,300,17.44980000000008,17.28315000000002,16.963575000000123
1759158360,17.6,17.6,17.59,17.59,200,17.456200000000084,17.28945000000002,16.968675000000122
1759158660,17.53,17.53,17.53,17.53,1,17.461400000000083,17.29525000000002,16.973425000000123
1759158720,17.49,17.49,17.49,17.49,100,17.466200000000082,17.300550000000023,16.978125000000126
1759158780,17.5,17.5,17.5,17.5,8,17.47020000000008,17.30575000000002,16.982825000000126
1759159020,17.5,17.5,17.48,17.48,250,17.473400000000083,17.31085000000002,16.987425000000123
1759159500,17.47,17.47,17.47,17.47,100,17.477000000000086,17.316050000000022,16.992025000000123
1759159560,17.46,17.46,17.46,17.46,1,17.480800000000084,17.32105000000002,16.996625000000122
1759159800,17.48,17.48,17.48,17.48,100,17.48500000000008,17.32615000000002,17.001275000000124
1759159920,17.47,17.47,17.47,17.47,101,17.48980000000008,17.331150000000022,17.005875000000124
1759160040,17.47,17.47,17.47,17.47,91,17.494400000000084,17.33665000000002,17.01027500000012
1759160160,17.51,17.51,17.51,17.51,7,17.499800000000082,17.34265000000002,17.014825000000123
1759160520,17.5,17.5,17.5,17.5,5,17.504400000000082,17.34875000000002,17.019225000000123
1759160580,17.5,17.5,17.5,17.5,101,17.509800000000084,17.35505000000002,17.023725000000123
1759160940,17.47,17.47,17.47,17.47,5,17.51420000000008,17.36135000000002,17.027875000000122
1759161180,17.47,17.47,17.47,17.47,100,17.517800000000083,17.367550000000023,17.032075000000123
1759161300,17.5,17.5,17.5,17.5,200,17.52200000000008,17.37435000000002,17.03627500000012
1759161360,17.5,17.5,17.5,17.5,100,17.52500000000008,17.380650000000017,17.04047500000012
1759161480,17.49,17.5,17.49,17.49,303,17.52820000000008,17.386350000000018,17.04452500000012
