time,open,high,low,close,Volume
1704983400,27.94,30,26.28,26.63,37708304
1705069800,26.4,26.41,24.75,24.97,22991870
1705415400,24.7,24.862,24.04,24.72,15078207
1705501800,24.35,24.56,24.15,24.41,13964502
1705588200,24.35,24.47,23.2,23.34,17823191
1705674600,23.49,24.1199,23.03,23.8,18284068
1705933800,23.2,23.33,22.5,22.95,17222074
1706020200,22.19,22.63,22.02,22.32,13431658
1706106600,22.82,22.97,22.57,22.6,11929147
1706193000,22.86,22.9,22.58,22.76,8954870
1706279400,23.52,24.12,23.48,23.99,20273847
1706538600,23.99,24.77,23.88,24.67,19012898
1706625000,24.84,24.98,24.685,24.88,15541322
1706711400,24.38,25,24.26,24.3,13369335
1706797800,24.21,24.72,24.19,24.54,12411413
1706884200,24.39,24.825,24.38,24.5,10329020
1707143400,24.75,24.79,24.13,24.19,6807517
1707229800,24.47,24.7699,24.4498,24.6,7352898
1707316200,24.66,25.2857,24.49,25.22,13952229
1707402600,25.755,26.08,25.64,26.03,18568455
1707489000,26.85,27.57,26.75,27.15,20742776
1707748200,27.53,28.86,27.515,28.66,35138572
1707834600,27.97,28.28,27.62,28.22,20913598
1707921000,29.58,29.825,29.24,29.55,28134453
1708007400,29.995,30.23,29.48,29.52,22844686
1708093800,29.858,29.97,29.49,29.62,15976526
1708439400,29.88,29.92,28.97,29.67,21166418
1708525800,29.055,29.35,28.91,29.08,17767555
1708612200,29.17,29.76,29.135,29.72,15468402
1708698600,29.26,29.31,28.91,29.16,13285822
1708957800,29.34,31.43,29.33,31.12,42806425
1709044200,32.53,32.96,32.17,32.59,42006445
1709130600,34.41,36.87,33.8,34.45,96833380
1709217000,36.205,36.38,34.47,35.42,53837492
1709303400,35.65,36.17,34.93,35.99,35133569
1709562600,37.42,38.89,37.4,38.65,63439014
1709649000,38.665,39.69,34.03,35.32,107143597
1709735400,38.16,38.595,37.295,38.29,45934345
1709821800,38.5,38.94,38.08,38.63,41620143
1709908200,38.935,40.2,37.77,39.55,89933979
1710163800,41.31,41.65,40.74,41.12,74430440
1710250200,41.28,41.8,39.21,40.73,98022756
1710336600,41.52,41.99,40.93,41.95,59347008
1710423000,41.46,41.53,39.01,39.51,99521144
1710509400,38.69,40.3239,38.44,39.39,68768285
1710768600,38.81,39.13,37.93,38.14,53201564
1710855000,36.35,37.53,35.49,36.7,69685175
1710941400,36.18,37.69,35.41,37.55,71309267
1711027800,38.605,38.61,37,37.15,47085932
1711114200,36.6,36.69,35.705,36.41,39957363
1711373400,38.2,40.62,38.195,40.55,64562024
1711459800,40.45,40.51,39.54,39.63,44351363
1711546200,40.91,40.97,39.015,39.13,46746940
1711632600,40.56,40.96,40.215,40.47,44764022
1711978200,39.99,40.03,38.835,39.75,34651970
1712064600,37.02,37.84,36.8,37.6,34073404
1712151000,37.5,38.2,37.37,37.54,29387388
1712237400,38.41,39.6097,38.29,39.08,44185494
1712323800,38.16,39.155,38.1102,38.41,28670518
1712583000,41.15,41.2,40.61,40.95,40056693
1712669400,40.29,40.5,38.9,39.33,35513699
1712755800,38.58,40,38.46,40,38908023
1712842200,40.35,40.4536,39.655,40.17,27725536
1712928600,40,40.1,37.17,38.14,57221423
1713187800,37.78,37.95,35.54,36.08,46360334
