"symbol","Margin Mode","Position Side","Entry Price","Avg. Close Pirce","Max Open Interest","Closed Vol.","Closing PNL","Opened","Closed","Status"
"BTCUSDT_260327","Cross","Long","118345.52171946","119202.92081400","0.22100000","0.22100000","189.48520000","2025-10-10 22:00:36.671","2025-10-13 20:43:23.682","Closed"
"BTCUSDT_260327","Cross","Long","127231.17559188","107496.23184900","1.77400000","1.77400000","-35009.79019974","2025-10-08 08:34:36.048","2025-10-10 21:20:23.416","Closed"
"BNBUSDT","Isolated","Long","1310.95000000","889.91336100","10.68000000","10.68000000","-4496.67130000","2025-10-07 14:28:00.697","2025-10-10 21:20:23.416","Closed"
"ETHUSDC","Isolated","Short","4621.49897499","4593.22041300","12.27300000","12.27300000","347.06278999","2025-08-13 00:48:33.196","2025-08-14 21:06:36.437","Closed"
"BTCUSDT","Cross","Long","120320.72381829","118108.70000000","1.62900000","1.62900000","-3603.38679987","2025-07-14 06:45:55.661","2025-08-17 05:11:01.290","Closed"
"BTCUSDT_250926","Cross","Long","119266.96882716","109800.00000000","0.32400000","0.32400000","-3067.29789997","2025-07-13 19:02:19.465","2025-08-31 00:47:06.162","Closed"
"BTCUSDT_251226","Cross","Long","122170.02831925","107091.96881000","10.43200000","10.48400000","-158078.37589866","2025-07-11 10:01:02.714","2025-10-10 21:20:23.416","Closed"
"BTCUSDT_251226","Cross","Long","122170.02831925","113586.13337300","10.43200000","2.52900000","-21679.74320235","2025-07-11 10:01:02.714",,"Partially Closed"
"BTCUSDT_251226","Cross","Long","122158.59015520","111592.28208200","10.43200000","0.41300000","-4363.88523399","2025-07-11 10:01:02.714",,"Partially Closed"
"BTCUSDT_251226","Cross","Long","122158.59015520","113586.13337300","10.43200000","2.52900000","-21679.74320235","2025-07-11 10:01:02.714",,"Partially Closed"
"BTCUSDC","Isolated","Long","115199.62003291","105751.65745200","23.39700000","23.39700000","-221053.98050856","2025-05-27 08:31:48.590","2025-10-10 21:19:24.640","Closed"
"BCHUSDC","Isolated","Short","400.75000000","443.02636000","16.55400000","16.55400000","-699.84287000","2025-05-21 18:35:46.828","2025-05-23 01:09:17.543","Closed"
"ETHUSDC","Isolated","Short","2481.00000000","2656.44000000","4.00900000","4.00900000","-703.33896000","2025-05-21 18:25:10.834","2025-05-23 01:09:17.519","Closed"
"ENJUSDT","Isolated","Short","0.08726020","0.09500100","13643.00000000","13643.00000000","-105.60539992","2025-05-21 18:22:15.745","2025-05-23 01:09:17.543","Closed"
"AVAXUSDC","Isolated","Short","22.35000000","25.10795300","234.33000000","234.33000000","-646.27106000","2025-05-20 20:28:38.066","2025-05-23 01:09:17.543","Closed"
"ICPUSDT","Isolated","Short","5.30000000","5.68023600","1007.00000000","1007.00000000","-382.89800000","2025-05-20 02:19:05.377","2025-05-23 01:09:17.543","Closed"
