"Date(UTC)","type","Amount","Asset","Symbol","Transaction ID"
"2025-03-31 16:35:35","TRANSFER","3993.58035909","USDT",,"252671983047"
"2025-03-31 16:36:58","POSITION_CLAIM_TRANSFER","1.20000000","USDC",,"959129191157375232"
"2025-03-31 16:36:58","COMMISSION","-0.00884155","USDC","ETHUSDC","96120158465910"
"2025-03-31 16:39:22","TRANSFER","-3993.58035909","USDT",,"252672428659"
"2025-03-31 16:39:48","TRANSFER","500.00000000","USDT",,"252672472792"
"2025-03-31 16:40:40","TRANSFER","3493.58035909","USDT",,"252672580878"
"2025-03-31 16:43:32","COMMISSION","-0.68126964","USDT","ETHUSDT","900605416927822"
"2025-03-31 16:43:32","COMMISSION","-0.11655723","USDT","ETHUSDT","900605416927821"
"2025-03-31 17:04:55","REALIZED_PNL","0.01620000","USDC","ETHUSDC","96121158472573"
"2025-03-31 17:04:55","COMMISSION","-0.00883507","USDC","ETHUSDC","96121158472573"
"2025-04-01 00:00:00","FUNDING_FEE","-0.02568944","USDT","ETHUSDT","592406816051614162"
"2025-04-01 08:00:00","FUNDING_FEE","0.11533577","USDT","ETHUSDT","593614775855268252"
"2025-04-01 16:00:00","FUNDING_FEE","0.13747856","USDT","ETHUSDT","594822758433999742"
"2025-04-02 00:00:00","FUNDING_FEE","0.15140652","USDT","ETHUSDT","596030696217562982"
"2025-04-02 08:00:00","FUNDING_FEE","-0.00181462","USDT","ETHUSDT","597238655895388832"
"2025-04-02 16:00:00","FUNDING_FEE","0.17516463","USDT","ETHUSDT","598446630504944862"
"2025-04-03 00:00:00","FUNDING_FEE","-0.02479955","USDT","ETHUSDT","599654572902237132"
"2025-04-03 08:00:00","FUNDING_FEE","0.25081907","USDT","ETHUSDT","600862548644252902"
"2025-04-03 16:00:00","FUNDING_FEE","-0.02369483","USDT","ETHUSDT","602070493516191592"
"2025-04-03 20:00:04","REALIZED_PNL","125.77845000","USDT","ETHUSDT","900615431677097"
"2025-04-03 20:00:04","COMMISSION","-1.93167796","USDT","ETHUSDT","900615431677097"
"2025-04-03 22:47:22","TRANSFER","-4117.38351037","USDT",,"253334281491"
"2025-04-08 01:56:33","TRANSFER","4182.21525442","USDT",,"254184786655"
"2025-04-08 01:58:48","TRANSFER","0.03541034","BNB",,"254185026808"
"2025-04-08 02:01:03","COMMISSION","-0.00334156","BNB","ETHUSDT","900605458319703"
"2025-04-08 08:00:00","FUNDING_FEE","0.04765423","USDT","ETHUSDT","618981939869041802"
"2025-04-08 15:40:08","COMMISSION","-0.00109622","BNB","ETHUSDT","900615461790945"
"2025-04-08 15:40:08","REALIZED_PNL","48.49610000","USDT","ETHUSDT","900615461790945"
"2025-04-08 15:40:08","REALIZED_PNL","9.97167000","USDT","ETHUSDT","900615461790946"
"2025-04-08 15:40:08","REALIZED_PNL","31.11379000","USDT","ETHUSDT","900615461790944"
"2025-04-08 15:40:08","COMMISSION","-0.00104572","BNB","ETHUSDT","900615461790942"
"2025-04-08 15:40:08","COMMISSION","-0.00022540","BNB","ETHUSDT","900615461790946"
"2025-04-08 15:40:08","COMMISSION","-0.00006035","BNB","ETHUSDT","900615461790941"
"2025-04-08 15:40:08","REALIZED_PNL","46.26201000","USDT","ETHUSDT","900615461790942"
"2025-04-08 15:40:08","COMMISSION","-0.00010592","BNB","ETHUSDT","900615461790943"
"2025-04-08 15:40:08","COMMISSION","-0.00070330","BNB","ETHUSDT","900615461790944"
"2025-04-08 15:40:08","REALIZED_PNL","4.68614000","USDT","ETHUSDT","900615461790943"
"2025-04-08 15:40:08","REALIZED_PNL","2.67001000","USDT","ETHUSDT","900615461790941"
"2025-04-08 19:02:37","TRANSFER","700.00347700","USDC",,"254332458408"
"2025-04-08 19:08:45","TRANSFER","-701.20200038","USDC",,"254333525636"
"2025-04-08 19:12:50","TRANSFER","701.42060000","USDT",,"254334133701"
"2025-04-08 19:21:52","COMMISSION","-0.00386762","BNB","BTCUSDT","900316191207686"
"2025-04-08 19:21:52","COMMISSION","-0.00012476","BNB","BTCUSDT","900316191207685"
"2025-04-09 00:00:00","FUNDING_FEE","-0.46721171","USDT","BTCUSDT","621397835652711410"
"2025-04-09 01:20:54","COMMISSION","-0.00170300","BNB","BTCUSDT","900316192544266"
"2025-04-09 01:32:31","REALIZED_PNL","-93.48200000","USDT","BTCUSDT","900306192693711"
"2025-04-09 01:32:31","COMMISSION","-0.00829924","BNB","BTCUSDT","900306192693711"
"2025-04-09 01:34:27","COMMISSION","-0.00815465","BNB","BTCUSDT","900316192715734"
"2025-04-09 03:58:42","COMMISSION","-0.00169037","BNB","BTCUSDT","900316193395357"
"2025-04-09 03:58:42","COMMISSION","-0.00166551","BNB","BTCUSDT","900316193395211"
"2025-04-09 08:00:00","FUNDING_FEE","0.46337281","USDT","BTCUSDT","622605794994995370"
"2025-04-09 16:00:00","FUNDING_FEE","-1.40304526","USDT","BTCUSDT","623813754672824740"
"2025-04-10 00:00:00","FUNDING_FEE","-1.68630243","USDT","BTCUSDT","625021713134311510"
"2025-04-10 08:00:00","FUNDING_FEE","-0.02463972","USDT","BTCUSDT","626229672854078010"
