"Date(UTC)","type","Amount","Asset","Symbol","Transaction ID"
"2025-05-27 16:05:06","DEPOSIT","0.45867851","BTC",,"265231252535"
"2025-05-28 14:51:45","COMMISSION","-0.00011199","BTC","BTCUSD_PERP","90131972800552"
"2025-05-28 14:51:45","COMMISSION","-0.00005204","BTC","BTCUSD_PERP","90131972800554"
"2025-05-28 14:51:45","COMMISSION","-0.00002788","BTC","BTCUSD_PERP","90131972800553"
"2025-05-28 14:54:02","COMMISSION","-0.00016240","BTC","BTCUSD_PERP","90131972801241"
"2025-05-28 16:00:00","FUNDING_FEE","-0.00012016","BTC","BTCUSD_PERP","801383807732862461"
"2025-05-29 00:00:00","FUNDING_FEE","-0.00011942","BTC","BTCUSD_PERP","802591767284860931"
"2025-05-29 08:00:00","FUNDING_FEE","-0.00007200","BTC","BTCUSD_PERP","803799727256291731"
"2025-05-29 16:00:00","FUNDING_FEE","-0.00009350","BTC","BTCUSD_PERP","805007686430806321"
"2025-05-30 00:00:00","FUNDING_FEE","0.00001108","BTC","BTCUSD_PERP","806215645269772071"
"2025-05-30 00:31:20","COMMISSION","-0.00000519","BTC","BTCUSD_PERP","90131973309201"
"2025-05-30 00:31:20","COMMISSION","-0.00009346","BTC","BTCUSD_PERP","90131973309200"
"2025-05-30 00:32:28","COMMISSION","-0.00000472","BTC","BTCUSD_PERP","90131973309511"
"2025-05-30 00:32:28","COMMISSION","-0.00004250","BTC","BTCUSD_PERP","90131973309512"
"2025-05-30 00:32:28","COMMISSION","-0.00000755","BTC","BTCUSD_PERP","90131973309510"
"2025-05-30 00:32:50","COMMISSION","-0.00008267","BTC","BTCUSD_PERP","90131973309569"
"2025-05-30 08:00:00","FUNDING_FEE","-0.00000741","BTC","BTCUSD_PERP","807423604989546991"
"2025-05-30 08:08:01","COMMISSION","-4.7E-7","BTC","BTCUSD_PERP","90131973423203"
"2025-05-30 16:00:00","FUNDING_FEE","-0.00014622","BTC","BTCUSD_PERP","808631565002917171"
"2025-05-31 00:00:00","FUNDING_FEE","0.00017416","BTC","BTCUSD_PERP","809839524596859301"
"2025-05-31 01:44:12","COMMISSION","-0.00000626","BTC","BTCUSD_PERP","90131973730742"
"2025-05-31 01:54:38","COMMISSION","-0.00007582","BTC","BTCUSD_PERP","90131973734000"
"2025-05-31 08:00:00","FUNDING_FEE","0.00007843","BTC","BTCUSD_PERP","811047484023033801"
"2025-05-31 16:00:00","FUNDING_FEE","-0.00000318","BTC","BTCUSD_PERP","812255443449200811"
"2025-06-01 00:00:00","FUNDING_FEE","-0.00011966","BTC","BTCUSD_PERP","813463403043143701"
"2025-06-01 08:00:00","FUNDING_FEE","-0.00002245","BTC","BTCUSD_PERP","814671362679030751"
"2025-06-01 16:00:00","FUNDING_FEE","-0.00008291","BTC","BTCUSD_PERP","815879321979374431"
"2025-06-02 00:00:00","FUNDING_FEE","-0.00018531","BTC","BTCUSD_PERP","817087281657201471"
"2025-06-02 08:00:00","FUNDING_FEE","-0.00007456","BTC","BTCUSD_PERP","818295241083372211"
"2025-06-02 16:00:00","FUNDING_FEE","-0.00017366","BTC","BTCUSD_PERP","819503201348404361"
"2025-06-03 00:00:00","FUNDING_FEE","-0.00003529","BTC","BTCUSD_PERP","820711160564860181"
"2025-06-03 08:00:00","FUNDING_FEE","-0.00012773","BTC","BTCUSD_PERP","821919119865201181"
"2025-06-03 08:47:59","DEPOSIT","1.00000000","BTC",,"266674050252"
"2025-06-03 08:49:46","COMMISSION","-0.00025470","BTC","BTCUSD_PERP","90131974465633"
"2025-06-03 16:00:00","FUNDING_FEE","-0.00012960","BTC","BTCUSD_PERP","823127079836634671"
"2025-06-04 00:00:00","FUNDING_FEE","0.00006781","BTC","BTCUSD_PERP","824335038885314591"
"2025-06-04 08:00:00","FUNDING_FEE","-0.00021349","BTC","BTCUSD_PERP","825542999569778201"
"2025-06-04 12:33:08","COMMISSION","-0.00000571","BTC","BTCUSD_PERP","90131974703807"
"2025-06-04 12:33:08","COMMISSION","-0.00004156","BTC","BTCUSD_PERP","90131974703805"
"2025-06-04 12:33:08","COMMISSION","-0.00000667","BTC","BTCUSD_PERP","90131974703808"
"2025-06-04 12:33:08","COMMISSION","-5.7E-7","BTC","BTCUSD_PERP","90131974703806"
"2025-06-04 12:33:09","COMMISSION","-1.9E-7","BTC","BTCUSD_PERP","90131974703810"
"2025-06-04 12:33:10","COMMISSION","-0.00001734","BTC","BTCUSD_PERP","90131974703815"
"2025-06-04 12:33:10","COMMISSION","-0.00000190","BTC","BTCUSD_PERP","90131974703813"
"2025-06-04 12:33:10","COMMISSION","-0.00000610","BTC","BTCUSD_PERP","90131974703812"
"2025-06-04 12:33:10","COMMISSION","-0.00000171","BTC","BTCUSD_PERP","90131974703811"
"2025-06-04 12:33:10","COMMISSION","-0.00003813","BTC","BTCUSD_PERP","90131974703814"
"2025-06-04 16:00:00","FUNDING_FEE","-0.00021584","BTC","BTCUSD_PERP","826750958366802191"
"2025-06-05 00:00:00","FUNDING_FEE","0.00019602","BTC","BTCUSD_PERP","827958917960748261"
"2025-06-05 05:49:35","COMMISSION","-0.00006207","BTC","BTCUSD_PERP","90131974873317"
"2025-06-05 05:49:35","COMMISSION","-0.00000572","BTC","BTCUSD_PERP","90131974873318"
"2025-06-05 08:00:00","FUNDING_FEE","-0.00020649","BTC","BTCUSD_PERP","829166877806346671"
"2025-06-05 16:00:00","FUNDING_FEE","-0.00031222","BTC","BTCUSD_PERP","830374836519489581"
"2025-06-05 16:52:54","COMMISSION","-0.00022821","BTC","BTCUSD_PERP","90131975028576"
"2025-06-05 20:45:36","COMMISSION","-0.00003267","BTC","BTCUSD_PERP","90131975166851"
"2025-06-05 20:45:36","COMMISSION","-0.00004306","BTC","BTCUSD_PERP","90131975166852"
"2025-06-05 20:45:36","COMMISSION","-0.00004653","BTC","BTCUSD_PERP","90131975166853"
"2025-06-06 00:00:00","FUNDING_FEE","-0.00017389","BTC","BTCUSD_PERP","831582796574803891"
"2025-06-06 08:00:00","FUNDING_FEE","0.00030040","BTC","BTCUSD_PERP","832790755749316101"
"2025-06-06 16:00:00","FUNDING_FEE","0.00041499","BTC","BTCUSD_PERP","833998715049657831"
"2025-06-07 00:00:00","FUNDING_FEE","0.00063598","BTC","BTCUSD_PERP","835206675063031161"
"2025-06-07 08:00:00","FUNDING_FEE","-0.00007026","BTC","BTCUSD_PERP","836414634615030121"
"2025-06-07 16:00:00","FUNDING_FEE","0.00002795","BTC","BTCUSD_PERP","837622593957314611"
"2025-06-08 00:00:00","FUNDING_FEE","0.00004342","BTC","BTCUSD_PERP","838830553635145751"
"2025-06-08 08:00:00","FUNDING_FEE","-0.00013639","BTC","BTCUSD_PERP","840038513271030301"
"2025-06-08 16:00:00","FUNDING_FEE","0.00002018","BTC","BTCUSD_PERP","841246472781091061"
"2025-06-09 00:00:00","FUNDING_FEE","0.00063982","BTC","BTCUSD_PERP","842454432500859961"
"2025-06-09 08:00:00","FUNDING_FEE","-0.00019616","BTC","BTCUSD_PERP","843662391759257951"
"2025-06-09 16:00:00","FUNDING_FEE","0.00010561","BTC","BTCUSD_PERP","844870351856518221"
"2025-06-09 23:18:37","COMMISSION","-0.00007961","BTC","BTCUSD_PERP","90131976136852"
"2025-06-10 00:00:00","FUNDING_FEE","-0.00008929","BTC","BTCUSD_PERP","846078311114917141"
"2025-06-10 08:00:00","FUNDING_FEE","-0.00036276","BTC","BTCUSD_PERP","847286270247489351"
"2025-06-10 16:00:00","FUNDING_FEE","-0.00044653","BTC","BTCUSD_PERP","848494230596405411"
"2025-06-11 00:00:00","FUNDING_FEE","-0.00038046","BTC","BTCUSD_PERP","849702189519257911"
"2025-06-11 08:00:00","FUNDING_FEE","-0.00044485","BTC","BTCUSD_PERP","850910148651832241"
"2025-06-11 16:00:00","FUNDING_FEE","-0.00034169","BTC","BTCUSD_PERP","852118109084634921"
"2025-06-12 00:00:00","FUNDING_FEE","-0.00044799","BTC","BTCUSD_PERP","853326068133315121"
"2025-06-12 08:00:00","FUNDING_FEE","-0.00004898","BTC","BTCUSD_PERP","854534028062804281"
"2025-06-12 16:00:00","FUNDING_FEE","-0.00045487","BTC","BTCUSD_PERP","855741987614805911"
"2025-06-13 00:00:00","FUNDING_FEE","-0.00023705","BTC","BTCUSD_PERP","856949946663486001"
"2025-06-13 08:00:00","FUNDING_FEE","-0.00018073","BTC","BTCUSD_PERP","858157906467146261"
"2025-06-13 11:42:40","DEPOSIT","1.85004088","BTC",,"268768973473"
"2025-06-13 16:00:00","FUNDING_FEE","-0.00011219","BTC","BTCUSD_PERP","859365866019143771"
"2025-06-14 00:00:00","FUNDING_FEE","-0.00037188","BTC","BTCUSD_PERP","860573825487260511"
"2025-06-14 08:00:00","FUNDING_FEE","-0.00020319","BTC","BTCUSD_PERP","861781785416745721"
"2025-06-14 16:00:00","FUNDING_FEE","0.00017927","BTC","BTCUSD_PERP","862989744884862011"
"2025-06-15 00:00:00","FUNDING_FEE","-0.00002751","BTC","BTCUSD_PERP","864197704185202901"
"2025-06-15 08:00:00","FUNDING_FEE","-0.00046160","BTC","BTCUSD_PERP","865405663695261871"
"2025-06-15 16:00:00","FUNDING_FEE","-0.00046102","BTC","BTCUSD_PERP","866613622869772111"
"2025-06-16 00:00:00","FUNDING_FEE","-0.00046098","BTC","BTCUSD_PERP","867821582967031391"
"2025-06-16 08:00:00","FUNDING_FEE","-0.00045468","BTC","BTCUSD_PERP","869029542812633731"
"2025-06-16 16:00:00","FUNDING_FEE","-0.00045312","BTC","BTCUSD_PERP","870237502742119541"
"2025-06-17 00:00:00","FUNDING_FEE","0.00000638","BTC","BTCUSD_PERP","871445461581090471"
"2025-06-17 08:00:00","FUNDING_FEE","-0.00017439","BTC","BTCUSD_PERP","872653420923374631"
"2025-06-17 16:00:00","FUNDING_FEE","-0.00024445","BTC","BTCUSD_PERP","873861381062576431"
"2025-06-18 00:00:00","FUNDING_FEE","-0.00008180","BTC","BTCUSD_PERP","875069340237087071"
"2025-06-18 08:00:00","FUNDING_FEE","-0.00046374","BTC","BTCUSD_PERP","876277299579374361"
"2025-06-18 16:00:00","FUNDING_FEE","-0.00008806","BTC","BTCUSD_PERP","877485259676632661"
"2025-06-19 00:00:00","FUNDING_FEE","-0.00013984","BTC","BTCUSD_PERP","878693218347830611"
"2025-06-19 08:00:00","FUNDING_FEE","-0.00015328","BTC","BTCUSD_PERP","879901178277315921"
"2025-06-19 16:00:00","FUNDING_FEE","0.00009231","BTC","BTCUSD_PERP","881109138164861311"
"2025-06-20 00:00:00","FUNDING_FEE","0.00008764","BTC","BTCUSD_PERP","882317097800745781"
