"symbol","Margin Mode","Position Side","Entry Price","Avg. Close Pirce","Max Open Interest","Closed Vol.","Closing PNL","Opened","Closed","Status"
"SKYUSDT","Cross","Short","0.05867000","0.05854000","100000.00000000","100000.00000000","13.00000000","2025-10-11 10:14:15.365","2025-10-11 11:38:38.073","Closed"
"1000BONKUSDC","Cross","Short","0.01477700","0.01462800","150000.00000000","150000.00000000","22.35000000","2025-10-11 09:55:21.427","2025-10-11 11:25:44.110","Closed"
"WLDUSDC","Cross","Short","0.96411000","0.96270000","3000.00000000","3000.00000000","4.23099997","2025-10-11 09:53:11.476","2025-10-11 11:38:41.366","Closed"
"ENAUSDC","Cross","Short","0.42310000","0.41950000","13000.00000000","13000.00000000","46.80000000","2025-10-11 07:21:50.032","2025-10-11 11:26:03.785","Closed"
"SKYUSDT","Cross","Short","0.05993000","0.05864100","100000.00000000","100000.00000000","128.94818000","2025-10-11 02:56:01.860","2025-10-11 04:16:58.278","Closed"
"UNIUSDC","Cross","Long","5.80000000","5.97800000","1100.00000000","1100.00000000","195.80000000","2025-10-11 02:19:26.115","2025-10-11 09:51:24.348","Closed"
"STBLUSDT","Cross","Long","0.11685119","0.13417000","60000.00000000","30000.00000000","519.56432000","2025-10-10 23:15:03.659",,"Partially Closed"
"YGGUSDT","Cross","Long","0.15600000","0.13920000","20000.00000000","20000.00000000","-336.00000000","2025-10-10 20:56:21.491","2025-10-10 21:19:53.938","Closed"
"DOGEUSDC","Cross","Long","0.23259000","0.12807000","10000.00000000","10000.00000000","-1045.20000000","2025-10-10 19:50:53.864","2025-10-10 21:19:53.938","Closed"
"STBLUSDT","Cross","Long","0.15896000","0.12210000","20000.00000000","20000.00000000","-737.20000000","2025-10-10 14:16:25.606","2025-10-10 21:19:53.938","Closed"
"ETHUSDC","Cross","Short","4360.56000000","3998.00000000","1.00000000","1.00000000","362.56000000","2025-10-10 03:54:01.608","2025-10-10 20:01:05.418","Closed"
"BBUSDT","Cross","Long","0.17259495","0.09118000","40000.00000000","40000.00000000","-3256.59793000","2025-10-06 01:26:40.657","2025-10-10 21:19:53.938","Closed"
"YGGUSDT","Cross","Long","0.16200000","0.17600000","15000.00000000","15000.00000000","210.00000000","2025-10-06 00:10:19.807","2025-10-10 09:12:04.967","Closed"
"HBARUSDT","Cross","Long","0.22539000","0.22890000","5000.00000000","5000.00000000","17.55000000","2025-10-03 03:37:04.468","2025-10-07 06:08:10.380","Closed"
